Node,AverageAttackRate,Rank,degree_centrality,betweenness_centrality
478,0.048536,46,0.016016016016016016,0.0062027739794419156
388,0.048449,47,0.015015015015015015,0.004412121070330508
768,0.048409,48,0.014014014014014014,0.003826800565774974
510,0.048371,49,0.015015015015015015,0.004452621306049202
789,0.048303,50,0.015015015015015015,0.004874116513182517
829,0.048283,51,0.014014014014014014,0.004041887777729234
875,0.048167,52,0.014014014014014014,0.0036411627332685495
232,0.048129,53,0.014014014014014014,0.003933135493688267
263,0.047891,54,0.016016016016016016,0.005320079920457505
462,0.047888,55,0.016016016016016016,0.005290398560417487
814,0.047781,56,0.014014014014014014,0.003900772730636465
402,0.047516,57,0.014014014014014014,0.004392538540356992
119,0.047385,58,0.014014014014014014,0.0036326562529222935
315,0.047355,59,0.015015015015015015,0.005166963903384567
320,0.047269,60,0.015015015015015015,0.004938690581686999
572,0.047202,61,0.016016016016016016,0.0051953824614516045
748,0.04714,62,0.015015015015015015,0.0048364297190627206
620,0.046857,63,0.013013013013013013,0.0038424126694915823
679,0.046722,64,0.014014014014014014,0.004059872628844746
247,0.046722,65,0.016016016016016016,0.0050167088194890755
256,0.046594,66,0.016016016016016016,0.005607936519713149
785,0.046588,67,0.014014014014014014,0.004656280350478537
663,0.046487,68,0.016016016016016016,0.0050201715663185644
153,0.046463,69,0.014014014014014014,0.004095611455817105
801,0.046461,70,0.015015015015015015,0.0050633320812483165
538,0.046442,71,0.014014014014014014,0.0042907759282835205
177,0.046389,72,0.016016016016016016,0.00509794462769741
58,0.046242,73,0.014014014014014014,0.0040323899139502704
353,0.046138,74,0.013013013013013013,0.0034946318290567024
665,0.046057,75,0.013013013013013013,0.0036860301899980428
9,0.046042,76,0.014014014014014014,0.004348423393050749
3,0.046018,77,0.014014014014014014,0.003889363621895012
690,0.045994,78,0.013013013013013013,0.0031644177187200337
752,0.045862,79,0.015015015015015015,0.00522159931716986
421,0.045835,80,0.012012012012012012,0.00295346807728373
456,0.045789,81,0.013013013013013013,0.003526549013369756
654,0.045748,82,0.013013013013013013,0.0036796120844346087
291,0.045712,83,0.013013013013013013,0.0036752044305853318
347,0.045583,84,0.015015015015015015,0.004997348459777437
86,0.045575,85,0.013013013013013013,0.00333914201406141
260,0.04555,86,0.015015015015015015,0.005107276340725566
723,0.045501,87,0.012012012012012012,0.003058045133335871
77,0.04539,88,0.014014014014014014,0.0036419523501025736
238,0.045334,89,0.014014014014014014,0.0039170504810393135
159,0.045216,90,0.016016016016016016,0.0050328256755493295
340,0.045128,91,0.014014014014014014,0.004092066765114959
931,0.045023,92,0.015015015015015015,0.004926718139277472
659,0.04496,93,0.017017017017017015,0.006783950147258031
816,0.04493,94,0.014014014014014014,0.004045680771415031
554,0.044875,95,0.014014014014014014,0.004337503311302233
615,0.044727,96,0.015015015015015015,0.00433583101655477
745,0.044566,97,0.012012012012012012,0.0031663953494289556
334,0.044554,98,0.015015015015015015,0.004713704992858409
793,0.044379,99,0.012012012012012012,0.0031462640244894037
454,0.044287,100,0.014014014014014014,0.003765514509521218
741,0.044278,101,0.015015015015015015,0.004991673935827129
292,0.04392,102,0.012012012012012012,0.0030698306985516063
287,0.043838,103,0.013013013013013013,0.003531607282183037
815,0.043803,104,0.013013013013013013,0.0036634419205179287
555,0.043587,105,0.015015015015015015,0.004785107337711114
281,0.043455,106,0.012012012012012012,0.0028991751348226027
977,0.043441,107,0.014014014014014014,0.003926197026043613
139,0.04324,108,0.014014014014014014,0.0045585696491329385
113,0.043226,109,0.014014014014014014,0.004101395274081851
90,0.043216,110,0.013013013013013013,0.0035087103489261063
300,0.043186,111,0.014014014014014014,0.004290494191563606
212,0.043133,112,0.013013013013013013,0.004346004121224273
540,0.043088,113,0.015015015015015015,0.004679634357304286
409,0.043075,114,0.014014014014014014,0.0043263187400407405
470,0.04305,115,0.011011011011011011,0.0027130720265074112
455,0.042893,116,0.013013013013013013,0.0033556046176922588
933,0.042745,117,0.013013013013013013,0.003364762980330582
67,0.042668,118,0.013013013013013013,0.0038079356883057016
497,0.042624,119,0.012012012012012012,0.002708618941845642
566,0.042545,120,0.015015015015015015,0.004845712373920866
181,0.042514,121,0.012012012012012012,0.0031556652666784105
593,0.042476,122,0.015015015015015015,0.004194092401041167
766,0.042394,123,0.014014014014014014,0.003923399155624727
714,0.042316,124,0.013013013013013013,0.0037478174063399153
374,0.042299,125,0.013013013013013013,0.0037932372135238077
225,0.042297,126,0.013013013013013013,0.0034619977481960278
151,0.042283,127,0.013013013013013013,0.0030589350081859632
840,0.042257,128,0.012012012012012012,0.00318455633296338
279,0.042216,129,0.014014014014014014,0.004624664305072937
548,0.042051,130,0.014014014014014014,0.004212715916811001
866,0.041926,131,0.012012012012012012,0.002903683118366209
355,0.041771,132,0.014014014014014014,0.00424797217856937
979,0.041764,133,0.013013013013013013,0.0036463283403245813
706,0.041731,134,0.012012012012012012,0.002922180324774028
561,0.041729,135,0.012012012012012012,0.0032023618921580657
411,0.041693,136,0.013013013013013013,0.0035513624600471837
101,0.04163,137,0.012012012012012012,0.00286219593154014
954,0.041618,138,0.014014014014014014,0.003803899924675812
728,0.041611,139,0.013013013013013013,0.003791795012763759
547,0.041588,140,0.013013013013013013,0.0034898715316837425
903,0.041578,141,0.015015015015015015,0.004978664315601289
368,0.041562,142,0.012012012012012012,0.0029507635883548804
669,0.041431,143,0.011011011011011011,0.002548136963919376
0,0.041422,144,0.013013013013013013,0.0035239903500590354
145,0.041415,145,0.013013013013013013,0.0037996211042916677
813,0.041383,146,0.011011011011011011,0.002716252824405258
143,0.041379,147,0.014014014014014014,0.004229814216220925
963,0.041352,148,0.012012012012012012,0.003162404943131438
459,0.041331,149,0.013013013013013013,0.0032984528982427977
792,0.041259,150,0.013013013013013013,0.0034689056115187497
976,0.041249,151,0.014014014014014014,0.0038530393754175885
939,0.041231,152,0.013013013013013013,0.0035928734545934335
978,0.041209,153,0.012012012012012012,0.0029821999498350848
445,0.041187,154,0.013013013013013013,0.003330879049973768
640,0.041184,155,0.013013013013013013,0.0035229874889134744
458,0.041156,156,0.013013013013013013,0.0034768446540612403
612,0.041156,157,0.011011011011011011,0.002810070987310235
855,0.041086,158,0.013013013013013013,0.0036032201528086926
567,0.041077,159,0.013013013013013013,0.0037800171783431372
608,0.041021,160,0.012012012012012012,0.0029715072530725347
812,0.040914,161,0.013013013013013013,0.003532254542811558
950,0.040856,162,0.012012012012012012,0.003115781040567133
874,0.040852,163,0.011011011011011011,0.002338905498998309
717,0.04085,164,0.015015015015015015,0.004364289964218451
776,0.040794,165,0.013013013013013013,0.0036513318159188696
328,0.040729,166,0.013013013013013013,0.003940044071463671
56,0.040713,167,0.012012012012012012,0.0031270815589941694
746,0.040689,168,0.013013013013013013,0.0034775640651613345
672,0.040683,169,0.011011011011011011,0.0025447833634838824
506,0.04063,170,0.014014014014014014,0.004461304684225274
