,Seed 0,Seed 4,Seed 9,Seed 14,Seed 15,Seed 24,Seed 25,Seed 29,Seed 30,Seed 34,Seed 40,Seed 41,Seed 45,Seed 46,Seed 47,Seed 53,Seed 55,Seed 61,Seed 62,Seed 74,Seed 78,Seed 83,Seed 91,Seed 96,Seed 97,Seed 1,Seed 3,Seed 10,Seed 20,Seed 35,Seed 65,Seed 67,Seed 75,Seed 79,Seed 82,Seed 84,Seed 90,Seed 93,Seed 95,Seed 2,Seed 7,Seed 22,Seed 26,Seed 27,Seed 38,Seed 39,Seed 50,Seed 57,Seed 63,Seed 69,Seed 88,Seed 92,Seed 94,Seed 19,Seed 28,Seed 54,Seed 72,Seed 89,Seed 13,Seed 42,Seed 49,Seed 58,Seed 77,Seed 5,Seed 21,Seed 37,Seed 48,Seed 59,Seed 70,Seed 73,Seed 86,Seed 6,Seed 8,Seed 11,Seed 17,Seed 18,Seed 68,Seed 76,Seed 80,Seed 98,Seed 52,Seed 87,Seed 23,Seed 36,Seed 85,Seed 43,Seed 51,Seed 56,Seed 60,Seed 31,Seed 66,Seed 81,Seed 12,Seed 16,Seed 64,Seed 71,Seed 99,Seed 44,Seed 32,Seed 33
sigma_63,0.724223,0.730466,0.723946,0.723951,0.724316,0.724026,0.724033,0.731685,0.723886,0.724041,0.724710,0.724286,0.723926,0.723892,0.723937,0.724116,0.723723,0.730264,0.724291,0.723853,0.732257,0.723921,0.729918,0.724007,0.724111,0.723700,0.723932,0.724120,0.724497,0.723859,0.723974,0.724835,0.724118,0.723955,0.724029,0.724134,0.724324,0.723802,0.723948,0.732668,0.723922,0.724596,0.724012,0.724180,0.724177,0.724422,0.724294,0.724028,1.000000,0.723965,0.733405,0.724976,0.724279,0.723742,0.723990,0.724212,0.724241,0.732652,0.724133,0.731747,0.724083,0.724361,0.724174,0.724103,0.724176,0.724406,0.729942,0.724030,0.724223,0.723897,0.724025,0.724112,0.733058,0.723966,0.727978,0.724074,0.724059,0.724002,0.723941,0.724488,0.724600,0.723720,0.724330,0.727704,0.724664,0.723989,0.723929,0.724015,0.724829,0.724033,0.723991,0.724133,0.729530,0.724702,0.724322,0.728063,0.724369,0.724088,0.732510,0.724024
sigma_69,0.872363,0.872336,0.875323,0.872232,0.875526,0.872393,0.872275,0.872588,0.872322,0.872420,0.872616,0.876505,0.875414,0.872519,0.872451,0.872505,0.872319,0.872456,0.872332,0.872325,0.872455,0.875546,0.872464,0.872508,0.872371,0.872739,0.872501,0.872401,0.872464,0.874106,0.872614,0.872276,0.874935,0.875207,0.872356,0.875161,0.875412,0.874361,0.872489,0.876111,0.872448,0.872771,0.872609,0.872225,0.872449,0.872580,0.872453,0.875798,0.872487,1.000000,0.872301,0.872428,0.872365,0.877927,0.874374,0.872287,0.872288,0.876354,0.872540,0.872413,0.872357,0.872644,0.875098,0.872515,0.875291,0.872521,0.872290,0.875573,0.872569,0.872485,0.872534,0.872607,0.872679,0.872369,0.874213,0.872373,0.872411,0.874279,0.875533,0.874754,0.872383,0.872493,0.872522,0.874100,0.872533,0.872602,0.872323,0.872411,0.872625,0.872323,0.872436,0.872337,0.872377,0.872328,0.872454,0.872295,0.872331,0.872246,0.872455,0.874305
sigma_88,0.704025,0.704291,0.704135,0.703947,0.704004,0.704619,0.710379,0.704227,0.709242,0.704006,0.704637,0.704199,0.704075,0.704336,0.704409,0.703934,0.704562,0.704792,0.704520,0.707579,0.704879,0.704037,0.704126,0.704174,0.704542,0.704129,0.704071,0.704010,0.704002,0.707985,0.704550,0.712555,0.704107,0.704130,0.704502,0.704135,0.704239,0.703865,0.703988,0.713390,0.704416,0.704151,0.704560,0.709188,0.704326,0.704800,0.704368,0.704389,0.713480,0.703852,1.000000,0.704415,0.714204,0.704333,0.704332,0.704250,0.704223,0.704568,0.703941,0.704199,0.703964,0.704210,0.703867,0.703782,0.703901,0.704207,0.704121,0.703812,0.704367,0.704005,0.703742,0.704036,0.704593,0.704162,0.704138,0.703769,0.710443,0.703756,0.703798,0.704132,0.704136,0.704430,0.704047,0.704041,0.712188,0.704044,0.704106,0.704174,0.713354,0.703872,0.704403,0.712381,0.704316,0.711004,0.712052,0.704342,0.704119,0.704476,0.704323,0.704177
sigma_92,0.790060,0.795004,0.789568,0.789760,0.795438,0.789893,0.789963,0.789671,0.793385,0.789870,0.789698,0.790140,0.789757,0.793858,0.789870,0.795991,0.789866,0.790151,0.790327,0.789570,0.790116,0.789597,0.794140,0.794670,0.790015,0.790010,0.795628,0.789780,0.795049,0.789578,0.790000,0.789975,0.789834,0.789852,0.789839,0.789894,0.790261,0.789752,0.789769,0.796215,0.790102,0.790561,0.790030,0.793372,0.790010,0.790315,0.790244,0.790187,0.790848,0.789780,0.790215,1.000000,0.790157,0.789967,0.789839,0.789898,0.790277,0.789912,0.790076,0.795952,0.790251,0.790202,0.793915,0.789754,0.789927,0.789996,0.789974,0.789984,0.789788,0.789803,0.790260,0.789705,0.796746,0.790045,0.792816,0.789793,0.789682,0.789645,0.790024,0.790253,0.789741,0.789964,0.790133,0.792637,0.790213,0.790010,0.792657,0.789701,0.789810,0.789758,0.789897,0.795499,0.789694,0.790053,0.789714,0.789918,0.789878,0.789904,0.796236,0.790069
sigma_94,0.725166,0.725143,0.725131,0.725115,0.725029,0.737917,0.725084,0.724698,0.725136,0.725246,0.724952,0.725254,0.725127,0.725207,0.725388,0.725032,0.729812,0.725519,0.724946,0.724973,0.724941,0.725260,0.724817,0.731207,0.730869,0.725186,0.725413,0.725406,0.731404,0.728883,0.725123,0.725109,0.725087,0.725010,0.725148,0.725084,0.725634,0.724843,0.725247,0.733653,0.725289,0.725299,0.725407,0.725323,0.725351,0.725991,0.725609,0.725513,0.725301,0.724865,0.735148,0.725305,1.000000,0.725564,0.725017,0.725397,0.725392,0.725154,0.725078,0.725011,0.725055,0.731517,0.725016,0.725026,0.724737,0.724914,0.725342,0.724814,0.725093,0.725108,0.724915,0.724801,0.724999,0.725399,0.725145,0.725320,0.730712,0.724753,0.724875,0.724902,0.724800,0.725685,0.725662,0.724874,0.732561,0.725165,0.728743,0.730694,0.725158,0.724929,0.733800,0.725490,0.725108,0.725639,0.732529,0.724891,0.725074,0.725373,0.725440,0.729225
sigma_19,0.617309,0.616845,0.616897,0.617003,0.616785,0.635387,0.616886,0.617038,0.616521,0.617287,0.630466,0.616833,0.616901,0.624614,0.617086,0.617085,0.616752,0.616694,0.616914,0.620813,0.616882,0.626070,0.616804,0.617097,0.616607,0.616918,0.627037,0.616471,0.616899,0.616808,0.616842,0.616909,0.616661,0.616885,0.616401,0.616736,0.616921,0.616560,0.623953,0.616644,0.617137,0.617260,0.616390,0.616669,0.617265,0.617668,0.616909,0.616761,0.616457,0.622131,0.616976,0.616810,0.617260,1.000000,0.617162,0.617025,0.617885,0.618022,0.625284,0.616978,0.617377,0.625490,0.616797,0.617086,0.616776,0.617585,0.617181,0.617002,0.616361,0.616774,0.627822,0.616689,0.616394,0.617007,0.617029,0.616695,0.616922,0.616621,0.617097,0.616488,0.617145,0.616669,0.617009,0.616431,0.616390,0.616635,0.616422,0.616589,0.629119,0.616978,0.616922,0.616727,0.616750,0.617099,0.617028,0.616601,0.616545,0.616745,0.616691,0.616743
sigma_28,0.861158,0.864138,0.861036,0.861273,0.861079,0.861421,0.864051,0.861049,0.861125,0.861201,0.861172,0.861164,0.864422,0.864128,0.865443,0.861107,0.860993,0.860944,0.861302,0.862613,0.861336,0.864534,0.861137,0.861195,0.861176,0.861169,0.864690,0.861239,0.861260,0.861027,0.860839,0.861188,0.863927,0.861089,0.861132,0.861028,0.861288,0.863259,0.861132,0.861002,0.861108,0.861315,0.861080,0.860955,0.864042,0.861434,0.861212,0.861113,0.861192,0.863056,0.861461,0.861168,0.861198,0.861646,1.000000,0.861344,0.861352,0.861441,0.861072,0.861062,0.861041,0.861303,0.861156,0.865223,0.861111,0.861258,0.861071,0.861120,0.861089,0.861291,0.861373,0.861046,0.860934,0.860985,0.863200,0.861144,0.863884,0.860839,0.860871,0.860921,0.861048,0.861065,0.864860,0.861074,0.861229,0.864289,0.860898,0.861309,0.865644,0.863332,0.865415,0.861025,0.861264,0.864409,0.864947,0.863121,0.861044,0.861153,0.865305,0.861292
sigma_54,0.762297,0.762361,0.762439,0.762287,0.762436,0.762967,0.762291,0.762442,0.762510,0.762767,0.762639,0.762254,0.762559,0.762597,0.762636,0.762717,0.766790,0.767724,0.762621,0.764979,0.762349,0.762635,0.762529,0.762652,0.762440,0.762893,0.768544,0.762779,0.768194,0.762211,0.762354,0.762324,0.762490,0.762545,0.762545,0.762397,0.768375,0.762426,0.766905,0.762522,0.768943,0.762682,0.762226,0.762498,0.762524,0.762984,0.762783,0.762678,0.762663,0.762216,0.762628,0.762475,0.762827,0.762759,0.762593,1.000000,0.768050,0.762984,0.762433,0.762680,0.762591,0.762744,0.762336,0.762414,0.762498,0.762300,0.762353,0.762338,0.762259,0.762105,0.762799,0.762372,0.762588,0.762328,0.762428,0.762380,0.767723,0.765627,0.762427,0.762240,0.762496,0.762964,0.768896,0.765576,0.762517,0.762172,0.762262,0.762357,0.762503,0.766532,0.762584,0.762736,0.767271,0.762557,0.768911,0.765590,0.762659,0.762514,0.762398,0.762238
sigma_72,0.812473,0.816931,0.812323,0.812523,0.812435,0.821627,0.812303,0.812466,0.812420,0.812715,0.812537,0.812388,0.812496,0.812709,0.812622,0.813162,0.815898,0.812417,0.812878,0.812434,0.812646,0.812496,0.812417,0.817029,0.812352,0.812493,0.817672,0.812427,0.812638,0.812341,0.812715,0.812449,0.812518,0.812640,0.812338,0.812349,0.812469,0.812369,0.815963,0.812844,0.817800,0.812716,0.812515,0.815643,0.812633,0.813006,0.816415,0.817197,0.812715,0.812241,0.812624,0.812878,0.812844,0.813640,0.812625,0.818069,1.000000,0.812513,0.816968,0.817686,0.812794,0.812949,0.812533,0.817991,0.812558,0.812832,0.812500,0.812338,0.812370,0.812697,0.818556,0.812347,0.812389,0.812197,0.812409,0.812243,0.812475,0.812310,0.817129,0.812441,0.812343,0.812898,0.812849,0.814958,0.812523,0.812336,0.812253,0.812454,0.818086,0.815899,0.812383,0.812450,0.812517,0.812576,0.817299,0.812489,0.812456,0.812400,0.818006,0.812454
sigma_89,0.725446,0.725775,0.725700,0.726319,0.725676,0.726508,0.725873,0.726047,0.725481,0.725658,0.735599,0.725435,0.725427,0.725778,0.725904,0.726244,0.725421,0.726209,0.725572,0.725430,0.725929,0.725778,0.726063,0.725575,0.725781,0.725827,0.732700,0.726021,0.732257,0.725470,0.726037,0.725922,0.725536,0.725423,0.725854,0.725631,0.725906,0.729672,0.725575,0.726037,0.725462,0.725956,0.725380,0.725617,0.725890,0.737061,0.725771,0.725942,0.734230,0.729415,0.726073,0.725615,0.725710,0.726881,0.725816,0.726111,0.725617,1.000000,0.725678,0.726032,0.726003,0.732040,0.725768,0.725600,0.725637,0.725287,0.725682,0.725715,0.725620,0.725699,0.725659,0.729993,0.725956,0.726139,0.725804,0.726098,0.725662,0.729619,0.725546,0.725541,0.731473,0.725995,0.733493,0.725485,0.725477,0.725335,0.725371,0.725270,0.734395,0.725607,0.725862,0.725269,0.731205,0.731771,0.725854,0.725783,0.731740,0.725811,0.725719,0.725481
sigma_13,0.805975,0.810834,0.805912,0.813529,0.805824,0.806368,0.805501,0.806667,0.805664,0.805822,0.812755,0.806212,0.810270,0.805959,0.805668,0.806340,0.805715,0.805912,0.805984,0.805922,0.805819,0.806015,0.805683,0.810216,0.805919,0.806485,0.806115,0.806147,0.810755,0.808337,0.814513,0.806315,0.805979,0.805773,0.806138,0.809744,0.805877,0.805902,0.805907,0.805920,0.805920,0.806404,0.806223,0.809194,0.809864,0.806418,0.805723,0.805885,0.805982,0.805868,0.805718,0.806052,0.805906,0.814408,0.805719,0.805830,0.810343,0.805950,1.000000,0.811385,0.806497,0.806142,0.805783,0.806431,0.806197,0.811742,0.809811,0.810373,0.805815,0.813232,0.806624,0.805979,0.805975,0.806137,0.805886,0.811845,0.805804,0.805834,0.810861,0.805830,0.806019,0.806154,0.805821,0.805770,0.805659,0.805848,0.805840,0.805998,0.806232,0.809045,0.806156,0.805641,0.805860,0.805883,0.805720,0.805553,0.806011,0.805959,0.805654,0.805794
sigma_42,0.765565,0.771511,0.765511,0.765809,0.765982,0.765905,0.765738,0.765951,0.765852,0.765483,0.765884,0.765803,0.765665,0.766107,0.765925,0.772507,0.765545,0.766072,0.765533,0.765593,0.765879,0.765668,0.766037,0.766102,0.765530,0.765736,0.765874,0.765614,0.771841,0.765439,0.766099,0.765913,0.765662,0.765661,0.765696,0.765843,0.771700,0.765567,0.765645,0.766053,0.765886,0.773037,0.765823,0.765988,0.765840,0.765735,0.765554,0.766076,0.773452,0.765599,0.765833,0.771790,0.765696,0.765969,0.765566,0.765936,0.770922,0.766162,0.771246,1.000000,0.765914,0.765835,0.766073,0.766329,0.770951,0.772767,0.766078,0.766064,0.765800,0.766278,0.772862,0.765958,0.773605,0.765625,0.765963,0.765861,0.765458,0.765619,0.766087,0.769715,0.765668,0.765588,0.765986,0.765881,0.766183,0.765646,0.765829,0.765422,0.765793,0.766005,0.765992,0.765606,0.765874,0.770925,0.765494,0.769015,0.770834,0.765463,0.766494,0.769171
sigma_49,0.706774,0.713255,0.706504,0.706754,0.713482,0.706478,0.706625,0.706905,0.706274,0.706510,0.716763,0.706687,0.706425,0.712067,0.706385,0.706888,0.706383,0.706900,0.713962,0.706168,0.706874,0.706946,0.706452,0.706768,0.706760,0.706549,0.706707,0.706723,0.706549,0.706508,0.706657,0.707156,0.706563,0.706808,0.706599,0.706308,0.706268,0.706447,0.711751,0.706587,0.714611,0.706487,0.706988,0.711545,0.706625,0.706269,0.706450,0.706135,0.706559,0.706311,0.706368,0.706854,0.706509,0.707135,0.706315,0.706616,0.706796,0.706901,0.707124,0.706683,1.000000,0.706445,0.706712,0.706506,0.706375,0.706765,0.706537,0.706470,0.706667,0.717528,0.706634,0.706447,0.706529,0.707087,0.706832,0.715397,0.706846,0.706519,0.706723,0.706622,0.712873,0.707059,0.706165,0.710226,0.706157,0.706682,0.706642,0.712229,0.707012,0.706780,0.707317,0.706560,0.706653,0.706765,0.706477,0.706425,0.713352,0.706724,0.706683,0.710777
sigma_58,0.798371,0.803112,0.798269,0.798495,0.798163,0.798879,0.798237,0.798339,0.798601,0.798286,0.798879,0.798604,0.798341,0.798529,0.798541,0.798559,0.802201,0.798376,0.798894,0.798174,0.798511,0.803267,0.802788,0.798683,0.798489,0.798613,0.798671,0.798722,0.803606,0.801073,0.798421,0.798458,0.798604,0.798357,0.798778,0.798355,0.803410,0.798624,0.798548,0.798763,0.798364,0.799161,0.798586,0.801687,0.798543,0.798851,0.802822,0.803766,0.798804,0.798565,0.798579,0.798772,0.804933,0.807209,0.798544,0.798736,0.798917,0.804901,0.798735,0.798571,0.798412,1.000000,0.802488,0.804174,0.798551,0.798439,0.798365,0.798595,0.798353,0.798355,0.798805,0.798448,0.798649,0.804103,0.798399,0.798587,0.798422,0.798464,0.798194,0.798328,0.798531,0.798400,0.804315,0.798221,0.799000,0.798376,0.798247,0.798902,0.798733,0.801956,0.798742,0.798605,0.798537,0.798415,0.798618,0.798462,0.798537,0.802564,0.804579,0.798359
sigma_77,0.825560,0.829807,0.825676,0.825631,0.825631,0.825714,0.825516,0.830793,0.825685,0.825624,0.825903,0.825697,0.825990,0.825721,0.825630,0.825801,0.825548,0.829676,0.825588,0.825451,0.825685,0.825864,0.825678,0.825799,0.825948,0.825905,0.825586,0.825902,0.825952,0.825646,0.825717,0.825928,0.828997,0.829871,0.825915,0.829431,0.825800,0.828164,0.828881,0.826120,0.825480,0.830978,0.825884,0.825815,0.825681,0.825589,0.829272,0.830335,0.825917,0.828323,0.825538,0.829784,0.825738,0.825824,0.825698,0.825628,0.825802,0.825933,0.825678,0.826109,0.825979,0.829787,1.000000,0.825704,0.825577,0.825646,0.825575,0.825651,0.825902,0.826144,0.825771,0.825712,0.825671,0.825628,0.825594,0.825635,0.825587,0.825695,0.829925,0.825793,0.825631,0.825525,0.825836,0.825690,0.825806,0.829823,0.825868,0.829107,0.825540,0.825998,0.825901,0.825899,0.825681,0.829609,0.825699,0.828163,0.829634,0.825621,0.826255,0.828359
sigma_5,0.746156,0.746255,0.746354,0.745943,0.746233,0.746648,0.746331,0.746117,0.746227,0.746194,0.745794,0.746409,0.745903,0.746498,0.753539,0.753146,0.750523,0.745945,0.745921,0.746226,0.753423,0.746263,0.746118,0.746040,0.745930,0.746152,0.746313,0.746435,0.746574,0.745969,0.746110,0.746061,0.746023,0.751612,0.746181,0.746044,0.746076,0.749774,0.746013,0.746102,0.746286,0.746124,0.746229,0.746215,0.751193,0.746118,0.746046,0.746279,0.746156,0.746047,0.745763,0.745933,0.746058,0.746424,0.750080,0.746015,0.751572,0.746075,0.746635,0.746677,0.746084,0.751786,0.746013,1.000000,0.752010,0.753991,0.751380,0.752381,0.752971,0.755527,0.753992,0.746202,0.746158,0.746094,0.746140,0.746037,0.745896,0.746216,0.746740,0.745884,0.746275,0.745963,0.746239,0.746286,0.746154,0.746775,0.746033,0.746343,0.746446,0.746265,0.745854,0.745972,0.746012,0.746207,0.746078,0.746114,0.746083,0.746459,0.746175,0.745993
sigma_21,0.801613,0.801930,0.802204,0.801921,0.801867,0.801734,0.801846,0.802339,0.801832,0.801821,0.801802,0.801989,0.801779,0.801722,0.802073,0.801933,0.801814,0.801665,0.801945,0.803886,0.802028,0.802074,0.806138,0.801705,0.801784,0.801770,0.801690,0.802062,0.801962,0.801695,0.801873,0.801808,0.801795,0.801937,0.801855,0.806007,0.801918,0.801826,0.805604,0.801985,0.801824,0.802425,0.806436,0.805080,0.805963,0.801909,0.801667,0.801762,0.802078,0.804675,0.801730,0.801955,0.801618,0.801962,0.801811,0.801948,0.801985,0.801962,0.802250,0.807143,0.801801,0.802010,0.801735,0.807853,1.000000,0.807779,0.802086,0.806995,0.801909,0.802405,0.802318,0.805181,0.801976,0.802190,0.804586,0.802101,0.801957,0.804783,0.801900,0.801942,0.801695,0.801649,0.801630,0.801762,0.801949,0.802027,0.804547,0.801753,0.801869,0.805269,0.801861,0.801941,0.805766,0.801906,0.801848,0.801692,0.802189,0.806134,0.801766,0.801800
sigma_37,0.747838,0.747763,0.753521,0.747695,0.747465,0.747703,0.747580,0.754926,0.751863,0.747668,0.747862,0.748081,0.747954,0.752639,0.747889,0.748134,0.747875,0.747574,0.747499,0.750282,0.747761,0.753555,0.747654,0.747646,0.747669,0.747757,0.747678,0.756192,0.747676,0.747734,0.747670,0.747776,0.752613,0.747732,0.747780,0.747894,0.747891,0.747591,0.747678,0.747394,0.748075,0.747863,0.747990,0.747582,0.748092,0.747745,0.747818,0.747627,0.748080,0.747674,0.747807,0.747796,0.747566,0.748542,0.747729,0.747522,0.748032,0.747383,0.753571,0.754735,0.747964,0.747670,0.747576,0.755612,0.753556,1.000000,0.753306,0.748149,0.748008,0.757596,0.755403,0.747840,0.748127,0.747679,0.747943,0.747764,0.747621,0.747741,0.748231,0.747846,0.747559,0.747840,0.748111,0.750849,0.754364,0.748151,0.747924,0.748037,0.747800,0.747880,0.747518,0.747423,0.747640,0.747950,0.747834,0.747605,0.747709,0.747653,0.747729,0.747620
sigma_48,0.819679,0.819483,0.824007,0.819723,0.819626,0.827932,0.819491,0.819526,0.819369,0.819478,0.819738,0.819659,0.819391,0.822910,0.819738,0.824482,0.819410,0.823726,0.819479,0.821270,0.819779,0.819760,0.819602,0.819349,0.823390,0.819525,0.819771,0.819698,0.819563,0.821822,0.820056,0.819748,0.822958,0.819508,0.824319,0.819688,0.819364,0.819343,0.819516,0.819624,0.819670,0.819400,0.819423,0.819385,0.819696,0.819978,0.819498,0.819438,0.825457,0.819292,0.819572,0.819624,0.819844,0.819987,0.819392,0.819426,0.819550,0.819627,0.823484,0.819894,0.819585,0.819446,0.819356,0.824845,0.819707,0.825147,1.000000,0.819626,0.819842,0.820080,0.819831,0.819441,0.825177,0.819890,0.821907,0.819873,0.819440,0.819358,0.819492,0.819443,0.823235,0.819415,0.819749,0.819475,0.819621,0.819423,0.821962,0.823101,0.819634,0.819305,0.819679,0.819546,0.822911,0.819926,0.819930,0.819430,0.819558,0.823151,0.819628,0.819461
sigma_59,0.791755,0.791779,0.797051,0.791750,0.796922,0.791313,0.791813,0.791669,0.791712,0.791560,0.792070,0.791838,0.791573,0.795481,0.791912,0.791890,0.791551,0.791612,0.791553,0.793863,0.798016,0.791528,0.796102,0.791629,0.791505,0.791616,0.791599,0.791561,0.796566,0.791694,0.791534,0.791560,0.791395,0.791722,0.791748,0.791763,0.791962,0.791812,0.791428,0.791925,0.791642,0.798125,0.796638,0.791485,0.791894,0.791363,0.791461,0.791741,0.791697,0.794726,0.791406,0.791778,0.791460,0.791952,0.791585,0.791554,0.791531,0.791805,0.796191,0.792023,0.791661,0.791819,0.791575,0.797992,0.796764,0.792142,0.791769,1.000000,0.797349,0.792142,0.791921,0.795312,0.792135,0.797897,0.791605,0.792135,0.791405,0.794782,0.791942,0.795324,0.791740,0.791615,0.791455,0.791496,0.791869,0.796968,0.791772,0.791628,0.792042,0.791813,0.791626,0.791758,0.791609,0.791434,0.791433,0.791544,0.791627,0.791815,0.791740,0.791635
sigma_70,0.774236,0.774101,0.779595,0.774002,0.774505,0.773839,0.778781,0.774123,0.778284,0.774147,0.774009,0.774408,0.774069,0.774153,0.774495,0.774429,0.774253,0.774161,0.779567,0.774082,0.780813,0.774095,0.774350,0.773953,0.774015,0.774366,0.774052,0.774131,0.774045,0.777137,0.774509,0.774667,0.773989,0.779228,0.780291,0.774268,0.774407,0.777389,0.773976,0.774055,0.774122,0.774026,0.774542,0.774123,0.774136,0.774075,0.774162,0.774574,0.774402,0.774227,0.774473,0.774094,0.774250,0.773825,0.774066,0.773987,0.774075,0.774221,0.774145,0.774273,0.774369,0.774090,0.774338,0.781094,0.774187,0.774513,0.774497,0.779862,1.000000,0.774723,0.774367,0.774425,0.781303,0.774898,0.774016,0.774258,0.774153,0.777440,0.779669,0.774369,0.774328,0.774179,0.774346,0.774176,0.780428,0.774717,0.774233,0.778694,0.774454,0.774182,0.774223,0.774153,0.774041,0.774057,0.774094,0.777521,0.779460,0.774496,0.774407,0.774065
sigma_73,0.675806,0.676220,0.676473,0.675952,0.676205,0.676022,0.675995,0.676477,0.675881,0.675965,0.676434,0.686050,0.676349,0.676360,0.676393,0.676148,0.676128,0.676059,0.676176,0.675804,0.676109,0.676097,0.676177,0.676136,0.676157,0.675979,0.675653,0.686692,0.675914,0.676105,0.676754,0.675892,0.676009,0.676314,0.676208,0.676242,0.675633,0.675809,0.676124,0.675873,0.676168,0.675930,0.683419,0.676228,0.676164,0.676155,0.676344,0.675633,0.675835,0.675902,0.675871,0.675867,0.676025,0.675996,0.676027,0.675592,0.676161,0.676060,0.683329,0.676511,0.686994,0.675850,0.676340,0.685415,0.676442,0.685867,0.676496,0.676413,0.676483,1.000000,0.676825,0.675819,0.676019,0.676210,0.680484,0.676349,0.675824,0.675958,0.683769,0.675990,0.675856,0.676802,0.676088,0.676160,0.676817,0.683688,0.680743,0.682506,0.675674,0.676096,0.676446,0.675853,0.675910,0.683196,0.675923,0.675936,0.683525,0.675926,0.675988,0.676070
sigma_86,0.745895,0.745970,0.746056,0.745943,0.745996,0.746650,0.745880,0.746140,0.745776,0.751240,0.746072,0.745821,0.745776,0.750931,0.745877,0.753347,0.745795,0.745624,0.746020,0.745768,0.746063,0.746326,0.745708,0.751790,0.745737,0.745697,0.746457,0.746024,0.746126,0.745501,0.746127,0.745513,0.745953,0.751602,0.745678,0.745605,0.745908,0.745924,0.746232,0.745922,0.753075,0.746125,0.745948,0.745914,0.745669,0.746209,0.745851,0.746276,0.745856,0.745844,0.745500,0.746218,0.745725,0.756933,0.746002,0.746180,0.751922,0.745913,0.746608,0.752990,0.745989,0.746194,0.745859,0.753773,0.746249,0.753563,0.746140,0.746085,0.746020,0.746719,1.000000,0.749915,0.746104,0.745755,0.749478,0.745753,0.745939,0.745778,0.752392,0.745772,0.745896,0.746272,0.752953,0.745960,0.746158,0.751986,0.745695,0.745681,0.746200,0.750141,0.745942,0.745795,0.745678,0.745765,0.745884,0.745681,0.745753,0.745635,0.745828,0.746138
sigma_6,0.856088,0.856014,0.859478,0.861689,0.856135,0.856109,0.858892,0.860464,0.856157,0.856173,0.856686,0.856261,0.856182,0.856059,0.860307,0.856158,0.855939,0.855954,0.856083,0.856104,0.855907,0.856089,0.856092,0.855937,0.855989,0.856334,0.855888,0.856185,0.856477,0.857775,0.856153,0.856254,0.858583,0.856093,0.856193,0.856186,0.859683,0.858260,0.858708,0.855975,0.856183,0.860573,0.856198,0.858234,0.856209,0.856347,0.855771,0.856106,0.856263,0.856236,0.856113,0.855982,0.855930,0.856123,0.855994,0.856070,0.856022,0.860560,0.856280,0.856401,0.856121,0.856155,0.856119,0.856298,0.859426,0.856315,0.856067,0.859788,0.856395,0.856031,0.860228,1.000000,0.860760,0.860541,0.858204,0.860823,0.858981,0.858354,0.859618,0.858708,0.856244,0.856100,0.856278,0.856059,0.856135,0.856073,0.856075,0.855944,0.856120,0.856203,0.856515,0.856117,0.856051,0.856014,0.855990,0.855856,0.856141,0.856404,0.856102,0.855981
sigma_8,0.724227,0.724809,0.724528,0.724195,0.731159,0.724212,0.724478,0.724871,0.724662,0.724146,0.724548,0.733315,0.724121,0.724488,0.724469,0.724743,0.724544,0.724393,0.724315,0.724129,0.724941,0.723917,0.724730,0.724401,0.724329,0.724799,0.724332,0.724310,0.724704,0.724391,0.724767,0.731818,0.724594,0.724299,0.725150,0.730084,0.731203,0.724298,0.723997,0.724487,0.723980,0.724591,0.724454,0.724243,0.724004,0.724573,0.724538,0.724523,0.733340,0.724440,0.724803,0.731160,0.724260,0.723960,0.724012,0.724418,0.724196,0.724660,0.724408,0.732184,0.724335,0.724487,0.724209,0.724386,0.724356,0.724735,0.729940,0.724749,0.731408,0.724363,0.724555,0.728901,1.000000,0.732099,0.724687,0.724549,0.724365,0.724287,0.724476,0.729501,0.724482,0.724589,0.731812,0.728072,0.732424,0.724327,0.724593,0.724313,0.724002,0.724115,0.724405,0.724504,0.724335,0.724416,0.723962,0.724457,0.724308,0.724086,0.724868,0.724123
sigma_11,0.749746,0.749713,0.756035,0.750128,0.749858,0.749468,0.749732,0.750321,0.754098,0.749690,0.758642,0.749730,0.749852,0.749704,0.749794,0.749696,0.749893,0.750124,0.749880,0.749572,0.749803,0.749802,0.750134,0.749728,0.750155,0.749695,0.749543,0.749878,0.749956,0.749845,0.749764,0.750243,0.749624,0.749801,0.756723,0.750007,0.750175,0.749800,0.749929,0.749675,0.749885,0.750282,0.755663,0.749799,0.749769,0.749503,0.749893,0.750076,0.749745,0.749626,0.749867,0.749951,0.750155,0.750069,0.749561,0.749656,0.749501,0.750340,0.750068,0.749696,0.750390,0.755440,0.749663,0.749819,0.750067,0.749785,0.750146,0.756011,0.750498,0.750051,0.749703,0.754180,0.757595,1.000000,0.749812,0.758035,0.750002,0.753585,0.749724,0.750219,0.754948,0.749465,0.750022,0.749571,0.750089,0.750164,0.753167,0.754820,0.750082,0.754049,0.757583,0.756694,0.749843,0.749851,0.749554,0.749642,0.750191,0.750290,0.749790,0.749803
